provincia,periodo,anio,real,predicho,residuo,residuo_abs,riesgo_real,riesgo_pred
Darién,2018-08,2018,3.466299862448418,2.3374882667390926,1.1288115957093252,1.1288115957093252,bajo,bajo
Herrera,2018-08,2018,2.250255710876236,2.5379027444279645,-0.28764703355172827,0.28764703355172827,bajo,bajo
Los Santos,2018-08,2018,1.576581200090325,1.7622908189853335,-0.18570961889500848,0.18570961889500848,bajo,bajo
Panamá,2018-08,2018,7.32362488316943,6.776027760345488,0.5475971228239418,0.5475971228239418,moderado,moderado
Panamá Oeste,2018-08,2018,6.996993131401148,6.538588751447881,0.45840437995326777,0.45840437995326777,moderado,moderado
Veraguas,2018-08,2018,3.418888207496122,3.685441802500174,-0.26655359500405185,0.26655359500405185,bajo,bajo
Bocas del Toro,2019-08,2019,7.82697783737363,8.05351620418171,-0.2265383668080796,0.2265383668080796,moderado,critico
Chiriquí,2019-08,2019,6.462717424820677,6.194429316398962,0.26828810842171524,0.26828810842171524,moderado,moderado
Coclé,2019-08,2019,4.78094652194929,5.017617414167713,-0.23667089221842286,0.23667089221842286,bajo,bajo
Colón,2019-08,2019,12.122491125196904,11.946470196368036,0.17602092882886744,0.17602092882886744,critico,critico
Comarca Emberá,2019-08,2019,0.5156115726152966,1.0885760485463702,-0.5729644759310737,0.5729644759310737,bajo,bajo
Comarca Kuna Yala,2019-08,2019,0.5409985660278973,0.8931545286401188,-0.3521559626122215,0.3521559626122215,bajo,bajo
Comarca Ngäbe Buglé,2019-08,2019,0.8389373460283641,0.4810907466522303,0.35784659937613383,0.35784659937613383,bajo,bajo
Darién,2019-08,2019,3.3074695176457967,3.6704328730843767,-0.36296335543858005,0.36296335543858005,bajo,bajo
Herrera,2019-08,2019,2.050129645635264,1.8433306638911633,0.20679898174410072,0.20679898174410072,bajo,bajo
Los Santos,2019-08,2019,0.5731054041279344,0.7322953170085511,-0.15918991288061668,0.15918991288061668,bajo,bajo
Panamá,2019-08,2019,8.211151886756218,7.863439635908614,0.3477122508476036,0.3477122508476036,critico,moderado
Panamá Oeste,2019-08,2019,8.303128275722711,7.79938130213657,0.5037469735861411,0.5037469735861411,critico,moderado
Veraguas,2019-08,2019,4.838464632021091,4.886436182358087,-0.04797155033699596,0.04797155033699596,bajo,bajo
Bocas del Toro,2021-10,2021,9.966511357018057,10.223003209092985,-0.2564918520749284,0.2564918520749284,critico,critico
Chiriquí,2021-10,2021,6.73876963930073,6.754186914832324,-0.015417275531594221,0.015417275531594221,moderado,moderado
Coclé,2021-10,2021,5.905302358574216,5.871333360053989,0.03396899852022717,0.03396899852022717,bajo,bajo
Colón,2021-10,2021,12.588279124011924,12.567389909839555,0.02088921417236911,0.02088921417236911,critico,critico
Comarca Emberá,2021-10,2021,0.346860908775581,0.942025404033132,-0.595164495257551,0.595164495257551,bajo,bajo
Comarca Kuna Yala,2021-10,2021,2.027236149798824,0.7264636476727078,1.300772502126116,1.300772502126116,bajo,bajo
Comarca Ngäbe Buglé,2021-10,2021,0.9052676598474588,1.2788052286929434,-0.3735375688454846,0.3735375688454846,bajo,bajo
Darién,2021-10,2021,3.9870689655172415,4.055630119245347,-0.06856115372810523,0.06856115372810523,bajo,bajo
Herrera,2021-10,2021,6.445381725384561,5.5314106607502,0.9139710646343611,0.9139710646343611,moderado,bajo
Los Santos,2021-10,2021,2.8828098327074088,2.3821803177219367,0.500629514985472,0.500629514985472,bajo,bajo
Panamá,2021-10,2021,13.228184166043524,12.401075439274212,0.8271087267693122,0.8271087267693122,critico,critico
Panamá Oeste,2021-10,2021,18.623815794799,15.88348734357065,2.7403284512283506,2.7403284512283506,critico,critico
Veraguas,2021-10,2021,6.6556242907866325,6.851662690564351,-0.1960383997777182,0.1960383997777182,moderado,moderado
Bocas del Toro,2022-04,2022,8.753297888012428,8.555005515062419,0.198292372950009,0.198292372950009,critico,critico
Chiriquí,2022-04,2022,6.988178734208829,7.162850009901016,-0.17467127569218643,0.17467127569218643,moderado,moderado
Coclé,2022-04,2022,5.480733125987432,5.106797404142086,0.3739357218453456,0.3739357218453456,bajo,bajo
Colón,2022-04,2022,12.0,12.330317952888942,-0.33031795288894195,0.33031795288894195,critico,critico
Comarca Emberá,2022-04,2022,0.3598416696653472,1.1111890253365595,-0.7513473556712122,0.7513473556712122,bajo,bajo
Comarca Kuna Yala,2022-04,2022,0.421792618629174,1.5091212490845138,-1.0873286304553398,1.0873286304553398,bajo,bajo
Comarca Ngäbe Buglé,2022-04,2022,1.4100473837061192,1.1035330839084936,0.30651429979762557,0.30651429979762557,bajo,bajo
Darién,2022-04,2022,3.4183164791340266,2.9255850714703424,0.4927314076636842,0.4927314076636842,bajo,bajo
Herrera,2022-04,2022,4.875630857966835,4.741123130982975,0.13450772698385993,0.13450772698385993,bajo,bajo
Los Santos,2022-04,2022,1.931827938524942,1.7680387764986967,0.16378916202624527,0.16378916202624527,bajo,bajo
Panamá,2022-04,2022,12.509613527314269,10.87848407421545,1.6311294530988185,1.6311294530988185,critico,critico
Panamá Oeste,2022-04,2022,12.909485990514302,12.098246767877463,0.8112392226368392,0.8112392226368392,critico,critico
Veraguas,2022-04,2022,5.027247196235609,5.933771087532268,-0.9065238912966587,0.9065238912966587,bajo,bajo
Bocas del Toro,2023-08,2023,6.872971004653575,6.959085279791672,-0.08611427513809655,0.08611427513809655,moderado,moderado
Chiriquí,2023-08,2023,6.315188345832255,6.184110393424433,0.13107795240782227,0.13107795240782227,moderado,moderado
Coclé,2023-08,2023,3.9963179059128064,3.5552034045526724,0.4411145013601341,0.4411145013601341,bajo,bajo
Colón,2023-08,2023,10.404363120018072,10.74631088862121,-0.3419477686031378,0.3419477686031378,critico,critico
Comarca Emberá,2023-08,2023,0.88724584103512,1.1816229359545738,-0.29437709491945374,0.29437709491945374,bajo,bajo
Comarca Kuna Yala,2023-08,2023,0.0,1.915240450596753,-1.915240450596753,1.915240450596753,bajo,bajo
Comarca Ngäbe Buglé,2023-08,2023,2.291794056499939,2.1661493772033893,0.12564467929654954,0.12564467929654954,bajo,bajo
Darién,2023-08,2023,1.96237602795327,0.2865800774196181,1.675795950533652,1.675795950533652,bajo,bajo
Herrera,2023-08,2023,2.1679537025424187,2.66783180561608,-0.49987810307366143,0.49987810307366143,bajo,bajo
Los Santos,2023-08,2023,2.470720720720721,2.736606454228726,-0.26588573350800493,0.26588573350800493,bajo,bajo
Panamá,2023-08,2023,7.814250121332093,7.646369892547848,0.16788022878424513,0.16788022878424513,moderado,moderado
Panamá Oeste,2023-08,2023,11.97854754313266,12.511813281959338,-0.5332657388266782,0.5332657388266782,critico,critico
Veraguas,2023-08,2023,3.9646199959544695,4.432152441098355,-0.46753244514388514,0.46753244514388514,bajo,bajo
Bocas del Toro,2024-10,2024,6.695662744992098,7.051154660037153,-0.3554919150450555,0.3554919150450555,moderado,moderado
Chiriquí,2024-10,2024,9.009421430177188,8.954931271757605,0.05449015841958271,0.05449015841958271,critico,critico
Coclé,2024-10,2024,5.778835175629389,5.408957335213048,0.36987784041634164,0.36987784041634164,bajo,bajo
Colón,2024-10,2024,10.329832864960805,10.739566684451605,-0.4097338194907998,0.4097338194907998,critico,critico
Comarca Emberá,2024-10,2024,2.924329213144408,1.6802908926800715,1.2440383204643366,1.2440383204643366,bajo,bajo
Comarca Kuna Yala,2024-10,2024,2.542764678687009,1.7330473595798481,0.8097173191071607,0.8097173191071607,bajo,bajo
Comarca Ngäbe Buglé,2024-10,2024,2.408296283956145,1.6946050544868472,0.7136912294692976,0.7136912294692976,bajo,bajo
Darién,2024-10,2024,4.8163351971123225,4.519329316634903,0.2970058804774194,0.2970058804774194,bajo,bajo
Herrera,2024-10,2024,3.277279404869815,3.0467708892283234,0.23050851564149166,0.23050851564149166,bajo,bajo
Los Santos,2024-10,2024,2.700537193845033,3.408556417471732,-0.7080192236266991,0.7080192236266991,bajo,bajo
Panamá,2024-10,2024,12.44953618257293,11.914242043514175,0.5352941390587542,0.5352941390587542,critico,critico
Panamá Oeste,2024-10,2024,11.16554863440345,10.561774162985273,0.603774471418177,0.603774471418177,critico,critico
Veraguas,2024-10,2024,7.11190474357889,7.427419061886077,-0.3155143183071871,0.3155143183071871,moderado,moderado
