provincia,periodo,anio,area,sexo,poblacion_15_mas,pea,ocupados,desocupados,tasa_desempleo,tasa_participacion,tasa_actividad_total,tasa_actividad_urbana,tasa_actividad_rural,pct_jovenes_pea,pct_mayores_pea,pct_sector_primario,pct_sector_secundario,pct_sector_terciario,pct_sin_educacion,pct_primaria,pct_secundaria,pct_universitaria,pct_subempleo,pct_microempresa,pct_empresa_grande,mediana_salario,empleo_informal_pct,pib_crecimiento,inflacion,indice_gini,gasto_educacion_pib,desempleo_juvenil_nacional,exportaciones_pib,pib_per_capita,poblacion_total_nacional
Colón,2012-08,2012,rural,total,49786.0,31042.0,30143.0,899.0,2.896076283744604,62.35086168802475,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,total,hombres,83892.0,67752.0,65375.0,2377.0,3.508383516353761,80.76097840080104,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,total,mujeres,89644.0,44379.0,41584.0,2795.0,6.298023840104554,49.50582303333185,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,total,total,173536.0,112131.0,106959.0,5172.0,4.6124622093801,64.61541121150654,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,urbana,hombres,57662.0,45437.0,43553.0,1884.0,4.146400510597091,78.79886233568034,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,urbana,mujeres,66088.0,35652.0,33263.0,2389.0,6.700886345787052,53.946253480208206,,,,,,,,,,,,,,,,,,,,,,,,,
Colón,2012-08,2012,urbana,total,123750.0,81089.0,76816.0,4273.0,5.269518677009212,65.52646464646465,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Emberá,2012-08,2012,total,hombres,3431.0,3042.0,3042.0,0.0,0.0,88.66219761002623,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Emberá,2012-08,2012,total,mujeres,3121.0,1302.0,1302.0,0.0,0.0,41.71739826978533,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Emberá,2012-08,2012,total,total,6552.0,4344.0,4344.0,0.0,0.0,66.30036630036629,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Kuna Yala,2012-08,2012,total,hombres,9880.0,8248.0,8248.0,0.0,0.0,83.48178137651821,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Kuna Yala,2012-08,2012,total,mujeres,12991.0,6496.0,6429.0,67.0,1.0314039408866995,50.00384881841274,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Kuna Yala,2012-08,2012,total,total,22871.0,14744.0,14677.0,67.0,0.4544221378187737,64.46591753749289,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé,2012-08,2012,total,hombres,47595.0,41408.0,40907.0,501.0,1.2099111282843895,87.00073537136254,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé,2012-08,2012,total,mujeres,52454.0,31272.0,31272.0,0.0,0.0,59.617950966561175,,,,,,,,,,,,,,,,,,,,,,,,,
Comarca Ngäbe Buglé,2012-08,2012,total,total,100049.0,72680.0,72179.0,501.0,0.6893230599889929,72.64440424192145,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,rural,hombres,15357.0,13411.0,13301.0,110.0,0.8202222056520766,87.32825421631829,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,rural,mujeres,14346.0,4427.0,4314.0,113.0,2.552518635644906,30.858775965425906,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,rural,total,29703.0,17838.0,17615.0,223.0,1.2501401502410585,60.05453994546005,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,total,hombres,16927.0,14718.0,14585.0,133.0,0.9036553879603207,86.94984344538311,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,total,mujeres,15898.0,5121.0,4962.0,159.0,3.1048623315758643,32.211598943263304,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,total,total,32825.0,19839.0,19547.0,292.0,1.4718483794546096,60.43869002284844,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,urbana,hombres,1570.0,1307.0,1284.0,23.0,1.7597551644988525,83.2484076433121,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,urbana,mujeres,1552.0,694.0,648.0,46.0,6.628242074927954,44.71649484536083,,,,,,,,,,,,,,,,,,,,,,,,,
Darién,2012-08,2012,urbana,total,3122.0,2001.0,1932.0,69.0,3.4482758620689653,64.09352978859705,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,rural,hombres,20218.0,17529.0,17310.0,219.0,1.2493582064008215,86.69997032347413,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,rural,mujeres,17768.0,5643.0,5350.0,293.0,5.192273613326245,31.759342638451148,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,rural,total,37986.0,23172.0,22660.0,512.0,2.2095632660107025,61.00142157637024,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,total,hombres,42655.0,35041.0,34338.0,703.0,2.0062212836391655,82.14980658773884,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,total,mujeres,45448.0,19489.0,18723.0,766.0,3.930422289496639,42.88197500440064,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,total,total,88103.0,54530.0,53061.0,1469.0,2.6939299468182654,61.8934656027604,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,urbana,hombres,22437.0,17512.0,17028.0,484.0,2.763819095477387,78.04965013147925,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,urbana,mujeres,27680.0,13846.0,13373.0,473.0,3.4161490683229814,50.02167630057804,,,,,,,,,,,,,,,,,,,,,,,,,
Herrera,2012-08,2012,urbana,total,50117.0,31358.0,30401.0,957.0,3.0518527967344857,62.56958716603148,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2012-08,2012,rural,hombres,24655.0,20879.0,20879.0,0.0,0.0,84.68464814439261,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2012-08,2012,rural,mujeres,23848.0,10939.0,10703.0,236.0,2.157418411189323,45.86967460583697,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2012-08,2012,rural,total,48503.0,31818.0,31582.0,236.0,0.741718524105852,65.6000659753005,,,,,,,,,,,,,,,,,,,,,,,,,
Los Santos,2012-08,2012,total,hombres,35832.0,29905.0,29815.0,90.0,0.30095301788998496,83.45891940165215,,,,,,,,,,,,,,,,,,,,,,,,,
